id,name,text,trans
2007004020010,結華,ねぇ兄さん──,저기 오빠ー
0000000000000,プロデューサー,え,엥
2007004020020,結華,？,?
2007004020030,結華,──っ！！,ー!!
2007004020040,結華,ちょっ、待っ……！,"잠깐, 기다……!!"
2007004020050,結華,"待ってプロデューサーお願い待って！
今のはっ、なんて言うか！　違うのっ……！","기다려봐 프로듀서 제발 부탁이야!
지금껀, 뭐라고 할까, 아니야……!"
0000000000000,プロデューサー,……兄さん……,……오빠……
2007004020060,結華,うわぁ忘れてってば！,우아앙 잊으란 말야!
0000000000000,プロデューサー,いやぁ、すまん。珍しかったからつい,"아니, 미안. 보기 드문 상황이라 나도 모르게."
0000000000000,プロデューサー,用件はなんだ？,그래서 용건이 뭐야?
2007004020070,結華,えっ……その……,앗……그게……
2007004020080,結華,"この間のレッスンの録画、見てたら意見がほしくて……
アンティーカ全員で合わせたやつ……","요번에 했던 레슨 녹화 영상, 안티카 모두가 맞춘거……
한번 보고 의견 좀 말해줬으면 해서……"
0000000000000,プロデューサー,ああ、あれか,"아아, 그거 말이지."
0000000000000,プロデューサー,"そうだなぁ、他に人がいると、
結華はフォローに回りがちに見えるかな","한번 보자, 다른 사람이랑 있을 때,
유이카가 보조로 돌아가는게 잘 보여"
0000000000000,プロデューサー,バランスを取ってくれるのはもちろん嬉しいし、助かる,"밸런스를 맞춰주는건 정말 고마운 일이고, 도움도 돼"
0000000000000,プロデューサー,"でも、もっと自分のことだけ考えて
パフォーマンスをする瞬間があってもいいと思うぞ","그치만, 좀 더 자기 자신을 강조하기 위해
퍼포먼스를 하는 순간이 있어도 좋지 않을까 싶어"
2007004020090,結華,そ、そっか……,"그, 그렇구나……"
2007004020100,結華,"うーん、自分ではそこまで引いてるつもりなかったから、
今度は気を付けてみるね","으ー응, 개인적으론 그렇게까지 뒤로 뺄 생각은 없었는데,
앞으론 조심해야겠네"
0000000000000,プロデューサー,"ああ、自覚するのが難しかったら……
結華のファンのため、って思って動いてみるのがいいかもな","응, 자각하는게 어렵다면……
유이카의 팬을 위해, 라고 생각하며 움직이는 것도 좋을꺼 같아"
0000000000000,プロデューサー,"自分のファンが一番喜ぶのはどういう見せ方だろうって、
相手を具体的に想定して考えてみるんだ","자신의 팬이 가장 좋아할 움직임이 무엇일지,
보여줄 상대를 구체적으로 생각해보는거야"
2007004020110,結華,なるほど……,그렇구나……
