id,name,text,trans
0000000000000,プロデューサー,雛菜、おはよう,"히나나, 안녕"
1023001001110010,雛菜,"あ、おはよう～
プロデューサー………………","아, 좋은아침~
프로듀서"
0000000000000,プロデューサー,"こら、朝の挨拶をしながらソファに
寝転がるんじゃない……！","야, 아침 인사 하면서 소파에서
뒹구는거 아니야..."
1023001001110020,雛菜,"あは～
だってここ雛菜の特等席だもん～","아하~
왜냐면 여기가 히나나의 특등석이니까~"
select,,"今だけ
だぞ……！","지금만
그래...!"
select,,"誰か来たら
退くんだぞ？","누가
물러나는거야?"
select,,"ここで
寝ちゃだめだ","여기서
자면 안돼"
1023001001110030,雛菜,"うん～
誰か来たらちゃんと座るよ～？","응~
누가 오면 제대로 앉을테니까~"
1023001001110040,雛菜,"プロデューサーしかいなかったら
いいでしょ～？","프로듀서밖에 없으면
괜찮지~?"
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(좋아, 즐겁게 이야기 했다)"
1023001001110050,雛菜,わかってるよ～,알아~
1023001001110060,雛菜,だから今はおやすみ～……,그러니까 지금은 잘자
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(뭐, 그냥 평범하게 이야기 했나)"
1023001001110070,雛菜,"え～……
雛菜、寝てるから聞こえません～","에~
히나나는 자느라 안들러요"
1023001001110080,雛菜,聞こえてないからね～～～？,안들리니까~~~
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(으익... 이런! 다른 말을 할 걸 그랬어...)
info,produce_communications/102300100111.json,
译者,,
